City,average_rating,Description,keywords,Similarity
Amsterdam,4.118380541871921,"Known for its picturesque canals, bike-friendly streets, vibrant cultural scene, and plenty of museums, parks, and historic architecture.","['known', 'picturesque', 'canals', 'streets', 'vibrant', 'cultural', 'scene', 'plenty', 'museums', 'parks', 'historic', 'architecture']",0.1
Athens,4.207774049217003,"A city steeped in history, with ancient ruins like the Parthenon, lively street markets, and a Mediterranean climate perfect for outdoor exploration.","['city', 'steeped', 'history', 'ancient', 'ruins', 'like', 'parthenon', 'lively', 'street', 'markets', 'mediterranean', 'climate', 'perfect', 'outdoor', 'exploration']",0.20276500551520382
Barcelona,3.9668292056974206,"Famous for its unique architecture by Antoni Gaudí, vibrant beaches, and Mediterranean atmosphere, offering a mix of adventure, art, and outdoor activities.","['famous', 'unique', 'architecture', 'antoni', 'gaudí', 'vibrant', 'beaches', 'mediterranean', 'atmosphere', 'offering', 'mix', 'adventure', 'art', 'outdoor', 'activities']",0.0
Berlin,4.127020241644438,"A modern cultural hub with a rich history, creative energy, diverse nightlife, and landmarks like the Berlin Wall and Brandenburg Gate.","['modern', 'cultural', 'hub', 'rich', 'history', 'creative', 'energy', 'diverse', 'nightlife', 'landmarks', 'like', 'berlin', 'wall', 'brandenburg', 'gate']",0.2528277432174906
Bratislava,3.989313835770529,"A charming Old Town, proximity to the Danube River, and a mix of historical landmarks and beautiful scenery for a quiet yet culturally rich experience.","['charming', 'old', 'town', 'proximity', 'danube', 'river', 'mix', 'historical', 'landmarks', 'beautiful', 'scenery', 'quiet', 'yet', 'culturally', 'rich', 'experience']",0.09248911167509219
Brussels,3.890106241699867,"The capital of the European Union, known for medieval architecture, diverse cuisine, political significance, and a vibrant cultural scene.","['capital', 'european', 'union', 'known', 'medieval', 'architecture', 'diverse', 'cuisine', 'political', 'significance', 'vibrant', 'cultural', 'scene']",0.0
Budapest,4.095853858784893,"Known for thermal baths, historic castles, vibrant nightlife, and a mix of relaxation and adventure, offering both history and modern energy.","['known', 'thermal', 'baths', 'historic', 'castles', 'vibrant', 'nightlife', 'mix', 'relaxation', 'adventure', 'offering', 'history', 'modern', 'energy']",0.15713985358993987
Copenhagen,3.9946700507614215,"A city that combines modern design, historic charm, and a laid-back atmosphere, perfect for cycling, exploring local cuisine, and enjoying green spaces.","['city', 'combines', 'modern', 'design', 'historic', 'charm', 'atmosphere', 'perfect', 'cycling', 'exploring', 'local', 'cuisine', 'enjoying', 'green', 'spaces']",0.04897358144055208
Dublin,4.051150895140665,"Rich in literary history and Irish culture, Dublin is known for landmarks like Trinity College and St. Patrick’s Cathedral, with a lively pub culture.","['rich', 'literary', 'history', 'irish', 'culture', 'dublin', 'known', 'landmarks', 'like', 'trinity', 'college', 'patrick', 'cathedral', 'lively', 'pub', 'culture']",0.23356389805383518
Edinburgh,4.056818181818182,"Famous for its dramatic castles, ancient streets, and festivals, perfect for history lovers, art enthusiasts, and city exploration.","['famous', 'dramatic', 'castles', 'ancient', 'streets', 'festivals', 'perfect', 'history', 'lovers', 'art', 'enthusiasts', 'city', 'exploration']",0.21322167191418795
Geneva,3.9694819020581975,"A global city with a high quality of life, picturesque views of the Alps and Lake Geneva, and a place of tranquility, culture, and diplomacy.","['global', 'city', 'high', 'quality', 'life', 'picturesque', 'views', 'alps', 'lake', 'geneva', 'place', 'tranquility', 'culture', 'diplomacy']",0.04921883441664129
Hamburg,4.030507855316039,"A vibrant port city with a rich maritime history, known for its vibrant nightlife, museums, green spaces, and dynamic urban atmosphere.","['vibrant', 'port', 'city', 'rich', 'maritime', 'history', 'known', 'vibrant', 'nightlife', 'museums', 'green', 'spaces', 'dynamic', 'urban', 'atmosphere']",0.3208343654401159
Helsinki,3.9088132635253054,"A city combining contemporary design with nature, offering green spaces, modern architecture, and a relaxed pace of life.","['city', 'combining', 'contemporary', 'design', 'nature', 'offering', 'green', 'spaces', 'modern', 'architecture', 'relaxed', 'pace', 'life']",0.056594089084487265
Krakow,4.128812199036918,"Famous for medieval architecture, vibrant markets, and charming streets, Krakow is steeped in culture and history with nearby historical sites.","['famous', 'medieval', 'architecture', 'vibrant', 'markets', 'charming', 'streets', 'krakow', 'steeped', 'culture', 'history', 'nearby', 'historical', 'sites']",0.15499046985964804
Lisbon,4.052156334231806,"A coastal city with warm weather, cobblestone streets, and a vibrant food scene, offering history, seafood, and ocean relaxation.","['coastal', 'city', 'warm', 'weather', 'cobblestone', 'streets', 'vibrant', 'food', 'scene', 'offering', 'history', 'seafood', 'ocean', 'relaxation']",0.4077370656319572
Ljubljana,4.128205128205129,"A charming, green city with an impressive castle, pedestrian-friendly streets, and a relaxed pace, perfect for outdoor activities and local food.","['charming', 'green', 'city', 'impressive', 'castle', 'streets', 'relaxed', 'pace', 'perfect', 'outdoor', 'activities', 'local', 'food']",0.3498031367034852
London,3.943197030546428,"A global city offering a blend of history, culture, modern energy, landmarks like Big Ben, and a diverse dining scene and nightlife.","['global', 'city', 'offering', 'blend', 'history', 'culture', 'modern', 'energy', 'landmarks', 'like', 'big', 'ben', 'diverse', 'dining', 'scene', 'nightlife']",0.1065519788613672
Luxembourg,3.909309791332263,"A small, safe, and picturesque city known for medieval fortifications, lush greenery, and a mix of French and German cultures.","['small', 'safe', 'picturesque', 'city', 'known', 'medieval', 'fortifications', 'lush', 'greenery', 'mix', 'french', 'german', 'cultures']",0.050125775496125735
Lyon,3.9203821656050954,"Known as the culinary capital of France, Lyon offers a blend of history, culture, and gastronomy, with its world-class restaurants and historic old town.","['known', 'culinary', 'capital', 'france', 'lyon', 'offers', 'blend', 'history', 'culture', 'gastronomy', 'restaurants', 'historic', 'old', 'town']",0.047200543646451425
Madrid,3.796697684975034,"Spain’s vibrant capital with art museums, lively plazas, historic sites, cultural exploration, and dynamic nightlife.","['spain', 'vibrant', 'capital', 'art', 'museums', 'lively', 'plazas', 'historic', 'sites', 'cultural', 'exploration', 'dynamic', 'nightlife']",0.0
